iter	Passed	Remaining
404	7238	10634
405	7248	10605
406	7265	10585
407	7283	10568
408	7293	10539
409	7311	10520
410	7329	10503
411	7347	10485
412	7364	10467
413	7383	10450
414	7402	10434
415	7412	10406
416	7431	10389
417	7441	10361
418	7450	10330
419	7468	10314
420	7481	10289
421	7497	10269
422	7511	10246
423	7529	10228
424	7547	10211
425	7566	10194
426	7585	10178
427	7597	10153
428	7613	10132
429	7632	10117
430	7652	10102
431	7672	10087
432	7691	10071
433	7709	10054
434	7728	10038
435	7747	10021
436	7765	10004
437	7782	9986
438	7800	9968
439	7809	9939
440	7820	9912
441	7837	9894
442	7856	9878
443	7876	9862
444	7894	9845
445	7913	9829
446	7932	9813
447	7951	9797
448	7964	9774
449	7982	9756
450	8000	9739
451	8013	9715
452	8034	9702
453	8048	9678
454	8058	9653
455	8072	9630
456	8089	9611
457	8107	9595
458	8125	9577
459	8143	9560
460	8161	9542
461	8179	9525
462	8197	9507
463	8215	9490
464	8238	9478
465	8257	9463
466	8277	9447
467	8287	9420
468	8305	9403
469	8323	9386
470	8341	9368
471	8360	9352
472	8380	9336
473	8399	9320
474	8417	9303
475	8427	9277
476	8446	9261
477	8466	9245
478	8485	9229
479	8504	9213
480	8523	9196
481	8541	9179
482	8560	9163
483	8580	9147
484	8589	9120
485	8607	9103
486	8625	9086
487	8644	9069
488	8662	9051
489	8681	9036
490	8702	9021
491	8721	9005
492	8731	8979
493	8750	8962
494	8767	8944
495	8784	8926
496	8802	8908
497	8822	8892
498	8841	8877
499	8852	8852
500	8870	8835
501	8890	8819
502	8904	8798
503	8922	8781
504	8941	8764
505	8960	8747
506	8978	8730
507	8992	8708
508	9010	8692
509	9030	8676
510	9049	8659
511	9068	8643
512	9080	8620
513	9093	8598
514	9101	8571
515	9111	8546
516	9129	8529
517	9147	8511
518	9167	8496
519	9186	8480
520	9205	8463
521	9222	8445
522	9242	8429
523	9261	8412
524	9280	8396
525	9300	8380
526	9318	8363
527	9338	8348
528	9357	8331
529	9374	8313
530	9395	8298
531	9403	8272
532	9421	8254
533	9440	8238
534	9459	8222
535	9479	8205
536	9498	8189
537	9516	8171
538	9534	8154
539	9553	8137
540	9565	8116
541	9585	8099
542	9612	8090
543	9632	8074
544	9653	8059
545	9672	8042
546	9692	8026
547	9702	8003
548	9720	7985
549	9740	7969
550	9759	7953
551	9773	7931
552	9792	7915
553	9812	7899
554	9831	7882
555	9849	7865
556	9869	7849
557	9888	7832
558	9906	7815
559	9925	7798
560	9944	7782
561	9962	7764
562	9980	7746
563	9999	7729
564	10018	7713
565	10036	7695
566	10055	7678
567	10072	7660
568	10091	7643
569	10110	7627
570	10130	7611
571	10148	7593
572	10169	7578
573	10177	7552
574	10195	7535
575	10213	7518
576	10240	7507
577	10258	7489
578	10277	7472
579	10296	7456
580	10315	7439
581	10334	7422
582	10352	7405
583	10371	7388
584	10390	7371
585	10408	7353
586	10427	7336
587	10445	7319
588	10466	7303
589	10485	7286
590	10504	7269
591	10523	7252
592	10542	7235
593	10561	7218
594	10580	7202
595	10598	7184
596	10618	7167
597	10637	7151
598	10657	7134
599	10674	7116
600	10694	7099
601	10714	7083
602	10733	7066
603	10750	7048
604	10769	7031
605	10787	7013
606	10805	6996
607	10823	6978
608	10842	6961
609	10862	6944
610	10881	6928
611	10901	6911
612	10919	6893
613	10927	6869
614	10946	6852
615	10963	6834
616	10981	6816
617	10998	6798
618	11017	6781
619	11035	6763
620	11053	6746
621	11073	6729
622	11091	6711
623	11112	6695
624	11133	6680
625	11152	6663
626	11172	6646
627	11190	6628
628	11208	6611
629	11227	6593
630	11247	6577
631	11265	6559
632	11283	6541
633	11301	6524
634	11320	6507
635	11339	6489
636	11356	6471
637	11376	6455
638	11396	6438
639	11415	6421
640	11435	6404
641	11455	6387
642	11473	6370
643	11492	6353
644	11511	6336
645	11530	6318
646	11550	6302
647	11569	6284
648	11588	6267
649	11607	6250
650	11626	6232
651	11643	6214
652	11661	6196
653	11678	6178
654	11697	6161
655	11716	6144
656	11736	6127
657	11754	6109
658	11772	6091
659	11791	6074
660	11810	6057
661	11830	6040
662	11848	6022
663	11867	6005
664	11886	5988
665	11906	5971
666	11924	5953
667	11941	5935
668	11960	5917
669	11980	5900
670	11998	5883
671	12018	5866
672	12037	5848
673	12055	5830
674	12074	5813
675	12093	5796
676	12113	5779
677	12132	5762
678	12152	5744
679	12170	5727
680	12187	5709
681	12205	5691
682	12224	5673
683	12243	5656
684	12262	5639
685	12281	5621
686	12300	5603
687	12317	5586
688	12337	5568
689	12355	5551
690	12373	5533
691	12393	5516
692	12413	5499
693	12431	5481
694	12451	5464
695	12469	5446
696	12488	5429
697	12508	5411
698	12528	5394
699	12547	5377
700	12565	5359
701	12584	5342
702	12603	5324
703	12623	5307
704	12643	5290
705	12662	5272
706	12681	5255
707	12701	5238
708	12719	5220
709	12739	5203
710	12758	5186
711	12776	5168
712	12796	5150
713	12816	5133
714	12835	5116
715	12854	5098
716	12873	5081
717	12892	5063
718	12911	5046
719	12929	5028
720	12948	5010
721	12967	4992
722	12986	4975
723	13006	4958
724	13025	4940
725	13068	4932
726	13089	4915
727	13107	4897
728	13127	4880
729	13147	4862
730	13166	4845
731	13184	4827
732	13202	4809
733	13222	4791
734	13239	4773
735	13257	4755
736	13276	4737
737	13294	4719
738	13313	4702
739	13331	4684
740	13350	4666
741	13369	4648
742	13387	4630
743	13406	4612
744	13425	4595
745	13443	4577
746	13462	4559
747	13481	4541
748	13500	4524
749	13519	4506
750	13538	4488
751	13557	4471
752	13575	4452
753	13593	4434
754	13611	4417
755	13629	4398
756	13648	4381
757	13666	4363
758	13686	4345
759	13704	4327
760	13723	4309
761	13741	4292
762	13760	4274
763	13779	4256
764	13797	4238
765	13816	4220
766	13835	4203
767	13853	4184
768	13873	4167
769	13891	4149
770	13910	4131
771	13929	4113
772	13948	4096
773	13966	4078
774	13985	4060
775	14003	4042
776	14023	4024
777	14042	4006
778	14061	3989
779	14080	3971
780	14099	3953
781	14118	3935
782	14136	3917
783	14155	3900
784	14174	3882
785	14194	3864
786	14213	3846
787	14232	3829
788	14250	3810
789	14270	3793
790	14290	3775
791	14310	3758
792	14329	3740
793	14348	3722
794	14366	3704
795	14385	3686
796	14404	3668
797	14423	3651
798	14443	3633
799	14462	3615
800	14481	3597
801	14499	3579
802	14517	3561
803	14537	3543
804	14555	3525
805	14573	3507
806	14592	3489
807	14611	3471
808	14630	3454
809	14648	3436
810	14667	3418
811	14687	3400
812	14706	3382
813	14725	3364
814	14744	3347
815	14762	3328
816	14781	3310
817	14799	3292
818	14818	3274
819	14836	3256
820	14855	3238
821	14874	3221
822	14893	3203
823	14911	3185
824	14931	3167
825	14948	3148
826	14967	3131
827	14985	3112
828	15003	3094
829	15022	3076
830	15041	3058
831	15060	3041
832	15078	3023
833	15097	3005
834	15116	2987
835	15134	2968
836	15154	2951
837	15173	2933
838	15191	2915
839	15210	2897
840	15229	2879
841	15248	2861
842	15268	2843
843	15287	2825
844	15305	2807
845	15324	2789
846	15344	2771
847	15362	2753
848	15380	2735
849	15399	2717
850	15418	2699
851	15437	2681
852	15456	2663
853	15476	2645
854	15495	2627
855	15514	2609
856	15534	2592
857	15553	2574
858	15573	2556
859	15592	2538
860	15611	2520
861	15631	2502
862	15651	2484
863	15670	2466
864	15689	2448
865	15707	2430
866	15726	2412
867	15746	2394
868	15764	2376
869	15782	2358
870	15800	2340
871	15818	2321
872	15837	2303
873	15856	2285
874	15875	2267
875	15893	2249
876	15914	2232
877	15934	2214
878	15952	2195
879	15970	2177
880	15989	2159
881	16008	2141
882	16025	2123
883	16045	2105
884	16064	2087
885	16082	2069
886	16099	2051
887	16116	2032
888	16136	2014
889	16155	1996
890	16173	1978
891	16191	1960
892	16208	1942
893	16227	1924
894	16246	1905
895	16264	1887
896	16284	1869
897	16301	1851
898	16320	1833
899	16337	1815
900	16356	1797
901	16375	1779
902	16394	1761
903	16412	1742
904	16432	1724
905	16451	1706
906	16469	1688
907	16487	1670
908	16504	1652
909	16523	1634
910	16541	1615
911	16560	1597
912	16578	1579
913	16597	1561
914	16617	1543
915	16637	1525
916	16656	1507
917	16675	1489
918	16692	1471
919	16712	1453
920	16731	1435
921	16751	1417
922	16771	1399
923	16789	1380
924	16807	1362
925	16825	1344
926	16844	1326
927	16864	1308
928	16881	1290
929	16900	1272
930	16919	1253
931	16938	1235
932	16958	1217
933	16976	1199
934	16995	1181
935	17015	1163
936	17034	1145
937	17055	1127
938	17073	1109
939	17092	1091
940	17109	1072
941	17128	1054
942	17147	1036
943	17168	1018
944	17186	1000
945	17203	982
946	17222	963
947	17241	945
948	17260	927
949	17278	909
950	17298	891
951	17317	873
952	17336	854
953	17355	836
954	17374	818
955	17394	800
956	17411	782
957	17430	764
958	17447	745
959	17466	727
960	17485	709
961	17503	691
962	17523	673
963	17542	655
964	17560	636
965	17579	618
966	17598	600
967	17617	582
